Microsoft Corporation | MSFT | [19.34, 21.06, 21.0, 20.19, 20.44, 20.68, 22.09, 22.02, 21.66, 20.8, 19.98, 20.91, 21.4, 20.6, 21.24, 22.77, 21.4, 21.38, 23.09, 21.81, 23.48, 22.49, 22.77, 20.21, 19.03, 19.58, 20.22, 21.67, 23.07, 24.21, 24.85, 25.27, 26.11, 23.92, 23.67, 25.42, 26.15, 25.11, 24.7, 24.56, 25.19, 31.47, 28.82, 30.54, 27.96, 23.42, 24.44, 24.56, 24.47, 23.77, 22.23, 23.68, 23.16, 19.38, 17.66, 16.98, 14.94, 14.2, 16.16, 17.82, 18.49, 21.04, 20.82, 21.94, 22.89, 24.68, 26.29, 27.25, 25.19, 25.75, 26.31, 27.43, 23.28, 20.76, 23.29, 21.29, 22.21, 24.19, 23.05, 25.47, 25.31, 24.4, 23.31, 23.8, 23.11, 24.03, 25.32, 24.74, 23.15, 24.76, 23.97, 24.32, 27.67, 29.93, 30.42, 30.2, 27.71, 29.04, 27.97, 29.45, 28.44, 27.27, 25.65, 25.73, 26.45, 27.0, 27.79, 32.15, 34.14, 33.79, 31.15, 32.9, 32.78, 34.88, 37.85, 37.13, 37.56, 38.31, 40.99, 40.4]
Apple Inc. | AAPL | [13.48, 15.64, 15.54, 16.58, 18.62, 25.18, 32.22, 30.95, 36.96, 43.12, 40.05, 34.66, 38.22, 35.38, 40.99, 45.07, 51.53, 55.35, 65.19, 69.1, 72.58, 65.83, 60.28, 67.66, 57.45, 55.05, 65.32, 65.21, 73.99, 77.93, 88.1, 81.54, 82.4, 81.32, 89.3, 95.92, 116.48, 117.3, 126.64, 133.1, 147.51, 182.57, 175.14, 190.39, 130.1, 120.16, 137.93, 167.19, 181.42, 160.94, 152.78, 162.94, 109.24, 103.41, 89.07, 82.03, 86.63, 85.84, 101.04, 120.94, 130.53, 136.9, 157.04, 161.68, 178.15, 181.18, 192.14, 202.54, 184.6, 196.67, 225.87, 250.95, 246.9, 241.76, 247.26, 233.66, 272.73, 289.29, 299.06, 310.03, 326.14, 339.49, 334.97, 336.53, 334.32, 322.63, 375.31, 369.88, 366.51, 389.06, 367.35, 389.27, 438.75, 521.37, 576.26, 561.29, 555.29, 561.31, 587.03, 642.14, 643.94, 574.65, 567.54, 516.04, 441.68, 430.52, 431.74, 431.86, 441.54, 389.31, 444.29, 481.51, 471.16, 516.57, 552.76, 557.68, 497.62, 526.24, 536.74, 590.09]
Home Depot, Inc. (The) | HD | [28.17, 27.67, 26.5, 28.8, 30.88, 32.36, 32.96, 33.74, 32.57, 31.59, 30.26, 27.99, 31.14, 30.86, 34.52, 32.07, 30.33, 32.64, 33.31, 32.27, 32.33, 33.6, 33.84, 31.95, 30.5, 28.75, 27.88, 27.55, 29.26, 30.12, 30.82, 32.6, 33.07, 32.13, 29.99, 30.92, 31.73, 32.31, 30.52, 31.66, 26.81, 26.04, 23.79, 22.44, 25.53, 22.12, 23.51, 24.21, 23.0, 19.85, 20.2, 22.99, 22.13, 20.17, 19.76, 19.89, 18.6, 18.05, 20.61, 23.02, 20.26, 20.86, 22.9, 24.09, 23.72, 22.34, 24.36, 25.97, 25.14, 28.01, 29.25, 31.86, 30.62, 25.56, 25.96, 25.55, 29.09, 28.38, 27.96, 32.45, 34.03, 34.68, 34.53, 34.62, 33.81, 34.0, 32.79, 31.57, 31.09, 33.86, 37.38, 40.07, 42.31, 45.34, 48.25, 49.67, 47.6, 51.12, 50.34, 55.03, 58.54, 59.52, 63.38, 60.24, 65.18, 66.72, 68.34, 71.84, 77.04, 76.25, 77.78, 73.32, 75.05, 77.07, 79.82, 81.87, 76.41, 81.56, 79.13, 79.51]
General Electric Company | GE | [22.04, 23.08, 23.69, 23.36, 24.06, 24.45, 25.34, 26.31, 26.05, 25.54, 26.16, 26.26, 26.46, 25.29, 25.18, 24.53, 24.74, 24.92, 26.25, 25.94, 24.23, 24.51, 25.93, 25.79, 25.54, 24.76, 24.55, 25.58, 26.7, 26.56, 26.69, 28.36, 27.47, 26.81, 27.16, 28.31, 28.86, 29.61, 29.99, 30.07, 32.24, 32.06, 29.82, 29.12, 27.78, 26.27, 29.34, 25.92, 24.35, 21.39, 22.67, 22.52, 20.71, 15.85, 13.95, 13.41, 10.04, 7.25, 8.62, 10.78, 11.49, 10.07, 11.51, 11.94, 14.19, 12.32, 13.85, 13.16, 13.99, 14.06, 15.93, 16.51, 14.31, 12.7, 14.2, 12.76, 14.42, 14.22, 14.05, 16.36, 18.01, 18.84, 18.06, 18.42, 17.69, 17.12, 16.26, 14.81, 13.95, 15.32, 14.58, 16.58, 17.32, 17.79, 18.74, 18.28, 17.83, 19.68, 19.6, 19.56, 21.61, 20.04, 20.11, 20.16, 21.39, 22.48, 22.38, 21.58, 22.58, 22.63, 23.78, 22.58, 23.49, 25.71, 26.22, 27.79, 24.91, 25.47, 25.89, 26.89]
PowerShares QQQ Trust, Series 1 | QQQ | [33.84, 34.94, 32.3, 31.49, 32.53, 34.16, 36.22, 37.31, 34.95, 34.79, 34.18, 32.69, 35.59, 34.41, 37.03, 36.46, 36.91, 36.36, 38.58, 37.89, 39.38, 38.54, 39.35, 39.27, 36.43, 36.41, 34.84, 36.5, 38.19, 40.01, 41.38, 40.6, 41.46, 40.76, 40.97, 43.26, 44.63, 44.84, 44.78, 46.04, 48.46, 51.87, 48.36, 48.33, 42.58, 40.52, 41.28, 44.58, 47.22, 42.68, 42.96, 43.58, 36.79, 31.1, 27.53, 28.16, 27.52, 26.07, 28.76, 32.51, 33.56, 34.55, 37.46, 38.01, 40.16, 38.94, 41.41, 43.56, 40.74, 42.62, 45.9, 46.93, 43.46, 40.87, 43.83, 41.58, 47.06, 50.05, 49.96, 52.34, 53.82, 55.52, 55.27, 56.86, 56.16, 55.03, 55.94, 53.11, 50.72, 56.0, 54.49, 54.16, 58.71, 62.48, 65.63, 64.87, 60.3, 62.48, 63.11, 66.38, 66.97, 63.43, 64.26, 63.96, 65.67, 65.9, 67.89, 69.61, 72.1, 70.38, 74.82, 74.53, 78.13, 82.0, 84.91, 87.4, 85.72, 90.13, 87.67, 87.39]
Fidelity Investment Trust: Fidelity Latin America Fund | FLATX | [8.99, 9.32, 9.59, 9.98, 10.77, 11.1, 12.15, 13.17, 13.1, 14.75, 13.5, 13.12, 14.07, 14.79, 15.59, 16.56, 19.1, 18.31, 19.99, 20.44, 24.03, 24.1, 24.06, 25.87, 22.47, 23.17, 23.85, 24.43, 24.61, 26.29, 27.7, 29.51, 29.88, 28.86, 30.37, 32.07, 35.81, 36.54, 37.14, 35.72, 40.38, 44.79, 42.04, 42.41, 40.11, 42.98, 40.69, 45.27, 49.0, 45.69, 41.33, 37.75, 29.71, 19.62, 18.32, 19.25, 18.95, 18.09, 19.67, 22.83, 27.5, 26.92, 29.16, 29.18, 32.56, 32.96, 36.53, 36.88, 33.38, 34.86, 36.81, 36.35, 32.79, 32.47, 36.3, 36.02, 40.02, 41.51, 40.49, 42.98, 40.85, 41.34, 42.87, 43.87, 43.04, 42.9, 41.49, 40.0, 33.01, 38.22, 36.36, 36.2, 39.67, 41.36, 41.0, 39.22, 34.69, 35.95, 36.02, 35.37, 36.46, 36.39, 35.54, 37.7, 38.73, 37.02, 37.04, 36.93, 34.3, 31.68, 31.22, 29.8, 32.15, 33.21, 31.75, 31.25, 28.09, 28.46, 30.66, 31.56]
Fidelity Magellan Fund | FMAGX | [56.13, 56.94, 54.71, 54.85, 55.36, 56.22, 58.08, 59.89, 58.76, 59.46, 58.28, 57.08, 59.14, 59.16, 61.54, 60.83, 61.26, 60.47, 62.5, 63.73, 66.78, 65.78, 67.54, 68.84, 65.48, 64.99, 62.96, 64.47, 65.19, 67.1, 68.84, 68.48, 70.44, 69.28, 69.85, 73.22, 76.2, 75.87, 74.49, 75.36, 80.03, 84.3, 81.1, 81.38, 74.1, 72.91, 71.31, 75.96, 78.29, 71.73, 68.91, 68.86, 56.48, 44.28, 39.27, 41.19, 38.08, 35.19, 40.08, 45.56, 48.4, 47.74, 51.92, 53.05, 55.86, 52.83, 55.71, 58.13, 55.59, 57.27, 61.06, 61.98, 56.96, 53.27, 55.97, 52.66, 58.36, 60.47, 61.3, 65.38, 66.44, 69.2, 68.93, 70.66, 69.09, 66.6, 65.64, 60.58, 53.51, 59.32, 57.98, 57.83, 61.3, 64.96, 67.28, 66.49, 61.71, 63.79, 64.54, 66.69, 68.84, 67.06, 67.7, 68.23, 71.69, 72.19, 74.45, 75.19, 77.89, 76.58, 81.65, 80.13, 83.51, 87.07, 90.11, 92.37, 90.63, 95.34, 94.25, 93.17]
Vanguard Index Funds: Vanguard 500 Index Fund; Investor Shares | VFINX | [85.14, 86.78, 83.9, 84.22, 85.12, 86.41, 89.91, 92.96, 90.68, 92.58, 90.95, 89.21, 92.04, 92.15, 95.57, 94.69, 95.44, 93.84, 97.38, 97.4, 99.97, 100.23, 101.47, 102.82, 99.85, 99.97, 100.58, 102.96, 105.59, 109.03, 111.08, 112.63, 114.32, 112.06, 113.31, 118.32, 122.43, 120.38, 116.66, 118.41, 122.82, 124.76, 119.53, 118.71, 111.57, 107.94, 107.46, 112.68, 114.13, 104.49, 103.62, 105.12, 95.76, 79.68, 73.97, 74.76, 68.47, 61.17, 66.54, 72.9, 77.0, 77.17, 83.02, 86.0, 89.21, 87.54, 92.78, 94.58, 91.18, 94.0, 99.65, 101.22, 93.13, 88.24, 94.41, 90.14, 98.17, 101.89, 101.89, 108.69, 111.25, 115.05, 115.08, 118.48, 117.12, 115.16, 112.8, 106.66, 99.13, 109.95, 109.69, 110.81, 115.76, 120.75, 124.71, 123.91, 116.46, 121.25, 122.91, 125.66, 128.9, 126.5, 127.21, 128.35, 134.99, 136.8, 141.91, 144.62, 147.98, 145.98, 153.39, 148.92, 153.57, 160.61, 165.47, 169.64, 163.75, 171.22, 172.63, 173.88]
Vanguard STAR Funds: Vanguard STAR Fund; Investor Shares | VGSTX | [11.91, 12.11, 11.83, 11.93, 12.15, 12.33, 12.7, 13.08, 12.92, 13.11, 12.94, 12.83, 13.16, 13.28, 13.55, 13.64, 13.85, 13.61, 13.95, 14.18, 14.56, 14.56, 14.65, 14.82, 14.45, 14.45, 14.49, 14.81, 15.05, 15.39, 15.71, 15.82, 15.99, 15.97, 16.07, 16.52, 16.88, 16.76, 16.51, 16.64, 17.09, 17.42, 17.04, 16.86, 16.24, 16.01, 15.81, 16.39, 16.56, 15.72, 15.57, 15.6, 14.42, 12.54, 12.12, 12.64, 11.97, 11.22, 11.89, 12.71, 13.4, 13.5, 14.36, 14.73, 15.23, 15.04, 15.61, 15.79, 15.47, 15.74, 16.37, 16.57, 15.66, 15.29, 16.09, 15.73, 16.69, 17.1, 16.97, 17.68, 17.9, 18.3, 18.3, 18.86, 18.76, 18.51, 18.37, 17.64, 16.7, 18.0, 17.8, 17.82, 18.62, 19.2, 19.4, 19.34, 18.42, 18.92, 19.18, 19.49, 19.83, 19.79, 19.99, 20.28, 20.89, 20.96, 21.35, 21.76, 21.84, 21.37, 22.14, 21.79, 22.57, 23.23, 23.57, 23.89, 23.56, 24.41, 24.41, 24.47]
Vanguard World Funds: Vanguard International Growth Fund; Investor Shares | VWIGX | [10.34, 10.52, 10.17, 10.25, 10.54, 10.81, 11.52, 12.05, 11.79, 12.28, 11.98, 11.71, 11.72, 11.86, 12.27, 12.67, 13.23, 12.81, 13.12, 13.85, 14.82, 14.76, 15.23, 15.92, 15.16, 15.21, 15.38, 15.81, 15.79, 16.43, 16.91, 17.46, 17.66, 17.52, 17.96, 18.8, 19.4, 19.55, 19.24, 19.12, 20.33, 21.37, 20.66, 20.19, 18.38, 18.54, 18.36, 19.44, 19.85, 18.05, 17.35, 16.62, 14.48, 11.18, 10.3, 11.19, 10.0, 9.23, 10.04, 11.31, 12.9, 12.76, 14.09, 14.42, 15.2, 14.95, 15.59, 15.84, 15.04, 15.15, 16.24, 16.06, 14.39, 14.27, 15.68, 15.17, 17.09, 17.65, 17.01, 18.32, 18.32, 18.71, 18.91, 20.06, 19.48, 19.22, 18.88, 17.31, 14.92, 16.79, 16.29, 15.82, 17.11, 18.03, 18.02, 17.87, 15.83, 16.6, 16.8, 17.11, 17.77, 17.93, 18.29, 18.98, 19.82, 19.54, 19.57, 20.11, 20.06, 19.14, 20.49, 20.12, 21.75, 22.51, 22.81, 23.34, 22.02, 23.2, 23.16, 23.25]
